f1_identifier,formula,f1-vdw_rad,efermi,formula2,f2_vdw_rad,efermi-2,f2_identifier,atoms,distance_d,Δn,prompt,completion
mp-28675,Ba2Nb15O32,2.2,5.67,WSe2,1.9,4.23,mp-1025572,435.0,4.1,-7.62,"An interface between Ba2Nb15O32 (Fermi level: 5.67 meV) and WSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.0308
mp-759764,W(OF)2,1.52,5.67,MoSe2,2.1,4.23,mp-1023934,327.0,3.62,-1.06,"An interface between W(OF)2 (Fermi level: 5.67 meV) and MoSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.62 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.0583
mp-753816,Na6MgO4,2.27,5.67,PtSe2,1.9,4.23,mp-1115,34.0,4.17,-1.22e+04,"An interface between Na6MgO4 (Fermi level: 5.67 meV) and PtSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.17 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",9.4092
mp-13530,SmAsO4,1.85,5.67,Ti3S2,2.0,4.23,mp-1217073,318.0,3.85,-5.28,"An interface between SmAsO4 (Fermi level: 5.67 meV) and Ti3S2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.85 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.6639
mp-18754,DyCrO4,2.05,5.67,VS2,2.05,4.23,mp-655446,360.0,4.1,-2.62,"An interface between DyCrO4 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.9632
mp-555320,Li4CO4,1.82,5.67,NbTe2,2.2,4.23,mp-11675,324.0,4.02,-3.61,"An interface between Li4CO4 (Fermi level: 5.67 meV) and NbTe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.02 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.2837
mp-37514,SrCuO2,2.49,5.67,TiS2,2.0,4.23,mp-9027,180.0,4.49,-0.93,"An interface between SrCuO2 (Fermi level: 5.67 meV) and TiS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.49 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.0726
mp-849060,VS2,2.05,5.67,BaSrO2,2.49,4.23,mp-1227311,36.0,4.54,-0.746,"An interface between VS2 (Fermi level: 5.67 meV) and BaSrO2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.54 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.2930
mp-753807,ZnNi9O10,1.97,5.67,TiS2,2.0,4.23,mp-1008682,170.0,3.97,-1.76,"An interface between ZnNi9O10 (Fermi level: 5.67 meV) and TiS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.97 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.5653
mp-760928,VOF,2.05,5.67,Te2W,0,4.23,mp-1025573,126.0,2.05,-0.304,"An interface between VOF (Fermi level: 5.67 meV) and Te2W (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 2.05 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-1.1907
mp-30545,Mg2VO4,2.05,5.67,NbTe2,2.2,4.23,mp-1018150,330.0,4.25,-1.09,"An interface between Mg2VO4 (Fermi level: 5.67 meV) and NbTe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.25 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.0862
mp-20376,Ce(BO2)3,1.92,5.67,Zr3S2,2.25,4.23,mp-1215419,260.0,4.17,-0.545,"An interface between Ce(BO2)3 (Fermi level: 5.67 meV) and Zr3S2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.17 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.6070
mp-753160,BiOF,1.52,5.67,Te2W,0,4.23,mp-1019322,72.0,1.52,-1.05,"An interface between BiOF (Fermi level: 5.67 meV) and Te2W (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 1.52 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.0488
mp-755764,Na2NiO3,2.27,5.67,NbS2,2.2,4.23,mp-774873,468.0,4.47,-0.688,"An interface between Na2NiO3 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.47 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.3740
mp-25202,La2MoO6,2.1,5.67,NbSe2,2.2,4.23,mp-643063,306.0,4.3,-0.146,"An interface between La2MoO6 (Fermi level: 5.67 meV) and NbSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.3 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-1.9241
mp-975386,RbDyO3,3.03,5.67,Te2Mo,2.1,4.23,mp-7459,345.0,5.13,-2.76,"An interface between RbDyO3 (Fermi level: 5.67 meV) and Te2Mo (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 5.13 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.0152
mp-752760,Li2CoO3,2.0,5.67,TiS2,2.0,4.23,mp-2156,288.0,4,-8.45,"An interface between Li2CoO3 (Fermi level: 5.67 meV) and TiS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.1342
mp-756062,CeFeO3,2.0,5.67,TaS2,1.8,4.23,mp-1984,240.0,3.8,-2.18,"An interface between CeFeO3 (Fermi level: 5.67 meV) and TaS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.8 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.7793
mp-1173104,TbPaO4,1.52,5.67,VTe2,2.05,4.23,mp-1008626,456.0,3.57,-1.06,"An interface between TbPaO4 (Fermi level: 5.67 meV) and VTe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.57 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.0583
mp-22576,Mn(SbO3)2,2.05,5.67,MoS2,2.1,4.23,mp-1023939,234.0,4.15,-11.4,"An interface between Mn(SbO3)2 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.15 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.4336
mp-676106,NdZr9O20,2.25,5.67,MoSe2,2.1,4.23,mp-1023940,240.0,4.35,-4.55,"An interface between NdZr9O20 (Fermi level: 5.67 meV) and MoSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.35 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.5151
mp-19076,HoCrO4,2.05,5.67,Zr3Se2,2.25,4.23,mp-1215426,437.0,4.3,-3.39,"An interface between HoCrO4 (Fermi level: 5.67 meV) and Zr3Se2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.3 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.2208
mp-774092,Na3CoO3,2.27,5.67,MoSe2,2.1,4.23,mp-1023940,422.0,4.37,-1.76,"An interface between Na3CoO3 (Fermi level: 5.67 meV) and MoSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.37 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.5653
mp-760115,V3(OF)4,2.05,5.67,VS2,2.05,4.23,mp-655446,433.0,4.1,-0.598,"An interface between V3(OF)4 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.5142
mp-1203723,RbSeO4,3.03,5.67,VS2,2.05,4.23,mp-849080,336.0,5.08,-0.586,"An interface between RbSeO4 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 5.08 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.5344
mp-12523,YbPO4,1.8,5.67,NbTe2,2.2,4.23,mp-1018150,114.0,4,-4.27,"An interface between YbPO4 (Fermi level: 5.67 meV) and NbTe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.4516
mp-754060,Li7BiO6,1.82,5.67,TiS2,2.0,4.23,mp-2156,345.0,3.82,-2.16,"An interface between Li7BiO6 (Fermi level: 5.67 meV) and TiS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.82 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.7701
mp-674341,Sc3TaO7,2.11,5.67,VTe2,2.05,4.23,mp-1008626,312.0,4.16,-3.2,"An interface between Sc3TaO7 (Fermi level: 5.67 meV) and VTe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.16 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.1632
mp-18792,Ca3(CoO3)2,2.31,5.67,TaSe2,1.9,4.23,mp-500,482.0,4.21,-0.0811,"An interface between Ca3(CoO3)2 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.21 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-2.5121
mp-849080,VS2,2.05,5.67,LaGaO3,1.87,4.23,mp-1078871,266.0,3.92,-4.56,"An interface between VS2 (Fermi level: 5.67 meV) and LaGaO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.92 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.5173
mp-1192917,SmI3O10,1.52,5.67,NbSe2,2.2,4.23,mp-2207,232.0,3.72,-3.21,"An interface between SmI3O10 (Fermi level: 5.67 meV) and NbSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.72 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.1663
mp-19175,MnSe2O5,2.05,5.67,PtS2,1.8,4.23,mp-762,393.0,3.85,-1.11,"An interface between MnSe2O5 (Fermi level: 5.67 meV) and PtS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.85 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.1044
mp-5966,Cd2SnO4,1.52,5.67,Te2W,0,4.23,mp-1023926,234.0,1.52,-1.37,"An interface between Cd2SnO4 (Fermi level: 5.67 meV) and Te2W (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 1.52 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.3148
mp-753016,V3O5F,2.05,5.67,TaSe2,1.9,4.23,mp-501,378.0,3.95,-0.842,"An interface between V3O5F (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.95 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.1720
mp-9631,AlAgO2,1.84,5.67,MoS2,2.1,4.23,mp-2815,282.0,3.94,-0.0804,"An interface between AlAgO2 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.94 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-2.5207
mp-996969,AgBiO2,1.72,5.67,Zr9S2,2.25,4.23,mp-27191,252.0,3.97,-8.72,"An interface between AgBiO2 (Fermi level: 5.67 meV) and Zr9S2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.97 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.1656
mp-18849,Fe2P2O7,2.0,5.67,NbTe2,2.2,4.23,mp-1018150,414.0,4.2,-1.95,"An interface between Fe2P2O7 (Fermi level: 5.67 meV) and NbTe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.2 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.6678
mp-559154,Ti4Bi2O11,2.0,5.67,VS2,2.05,4.23,mp-849080,294.0,4.05,-2.94,"An interface between Ti4Bi2O11 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.05 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.0784
mp-1178133,KSmO2,2.75,5.67,ZrS2,2.25,4.23,mp-1186,141.0,5,-0.528,"An interface between KSmO2 (Fermi level: 5.67 meV) and ZrS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 5 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.6387
mp-760679,Cu3OF5,1.52,5.67,TaSe2,1.9,4.23,mp-501,390.0,3.42,-2.11,"An interface between Cu3OF5 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.42 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.7467
mp-759415,Mn6O5F7,2.05,5.67,TaTe2,0,4.23,mp-1967,441.0,2.05,-10,"An interface between Mn6O5F7 (Fermi level: 5.67 meV) and TaTe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 2.05 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.3026
mvc-159,V4ZnO8,2.05,5.67,WSe2,1.9,4.23,mp-1023936,177.0,3.95,-2.83,"An interface between V4ZnO8 (Fermi level: 5.67 meV) and WSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.95 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.0403
mp-3952,BaY2O4,2.3,5.67,ReS2,1.8,4.23,mp-572758,452.0,4.1,-1.75,"An interface between BaY2O4 (Fermi level: 5.67 meV) and ReS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.5596
mp-25202,La2MoO6,2.1,5.67,TiS2,2.0,4.23,mp-1101258,252.0,4.1,-0.725,"An interface between La2MoO6 (Fermi level: 5.67 meV) and TiS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.3216
mp-776165,AgAuO3,1.72,5.67,Ti3S2,2.0,4.23,mp-1217073,320.0,3.72,-6.22,"An interface between AgAuO3 (Fermi level: 5.67 meV) and Ti3S2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.72 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.8278
mp-38035,SrCO3,2.49,5.67,VS2,2.05,4.23,mp-9561,431.0,4.54,-1.3,"An interface between SrCO3 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.54 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.2624
mp-1984,TaS2,1.8,5.67,DyTiO3,2.0,4.23,mp-779599,196.0,3.8,-3.04,"An interface between TaS2 (Fermi level: 5.67 meV) and DyTiO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.8 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.1119
mp-694547,MnPO4,2.05,5.67,Te2W,0,4.23,mp-1023926,336.0,2.05,-0.282,"An interface between MnPO4 (Fermi level: 5.67 meV) and Te2W (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 2.05 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-1.2658
mp-555792,Na(OsO3)2,2.27,5.67,TaS2,1.8,4.23,mp-1984,84.0,4.07,-1.33,"An interface between Na(OsO3)2 (Fermi level: 5.67 meV) and TaS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.07 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.2852
mp-975274,RbNaO3,3.03,5.67,MoS2,2.1,4.23,mp-1027525,495.0,5.13,-1.19,"An interface between RbNaO3 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 5.13 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.1740
mp-559154,Ti4Bi2O11,2.0,5.67,TiS2,2.0,4.23,mp-1062030,427.0,4,-2.9,"An interface between Ti4Bi2O11 (Fermi level: 5.67 meV) and TiS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.0647
mp-686057,LiNbO3,2.2,5.67,VSe2,2.05,4.23,mp-694,435.0,4.25,2.24e+03,"An interface between LiNbO3 (Fermi level: 5.67 meV) and VSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.25 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",7.7142
mp-26716,CoP2O7,2.0,5.67,WS2,1.8,4.23,mp-1028441,460.0,3.8,-0.0156,"An interface between CoP2O7 (Fermi level: 5.67 meV) and WS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.8 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-4.1605
mp-9657,LiAsO3,1.85,5.67,Ta3S2,1.8,4.23,mp-1826,490.0,3.65,-5.47,"An interface between LiAsO3 (Fermi level: 5.67 meV) and Ta3S2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.65 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.6993
mp-2908,Al2ZnO4,1.84,5.67,Zr9S2,2.25,4.23,mp-27191,428.0,4.09,-3.88,"An interface between Al2ZnO4 (Fermi level: 5.67 meV) and Zr9S2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.09 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.3558
mp-2939,BaTbO3,1.52,5.67,TiS2,2.0,4.23,mp-558110,484.0,3.52,-393,"An interface between BaTbO3 (Fermi level: 5.67 meV) and TiS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.52 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",5.9738
mp-768357,Ba2Ti11O24,2.0,5.67,TiS2,2.0,4.23,mp-1062030,208.0,4,-3.09,"An interface between Ba2Ti11O24 (Fermi level: 5.67 meV) and TiS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.1282
mp-558411,Y2Zr2O7,2.3,5.67,NbS2,2.2,4.23,mp-1874,453.0,4.5,-6.04,"An interface between Y2Zr2O7 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.5 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.7984
mp-978596,Sm2Au2O5,1.52,5.67,VS2,2.05,4.23,mp-1178763,477.0,3.57,-2.56,"An interface between Sm2Au2O5 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.57 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.9400
mp-625541,Sn3(HO2)2,1.52,5.67,WS2,1.8,4.23,mp-1023937,117.0,3.32,-8.65,"An interface between Sn3(HO2)2 (Fermi level: 5.67 meV) and WS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.32 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.1576
mp-1222717,LaTi2O6,2.0,5.67,TaSe2,1.9,4.23,mp-7926,399.0,3.9,-0.0298,"An interface between LaTi2O6 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.9 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-3.5132
mvc-10218,MgSb4O9,1.73,5.67,MoSe2,2.1,4.23,mp-1023940,474.0,3.83,-9.95,"An interface between MgSb4O9 (Fermi level: 5.67 meV) and MoSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.83 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.2976
mp-1025874,MoS2,2.1,5.67,LiPrO2,1.82,4.23,mp-10620,156.0,3.92,1.11e+04,"An interface between MoS2 (Fermi level: 5.67 meV) and LiPrO2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.92 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",9.3147
mp-675245,Bi6W4O21,1.52,5.67,NbSe2,2.2,4.23,mp-7597,479.0,3.72,-0.0791,"An interface between Bi6W4O21 (Fermi level: 5.67 meV) and NbSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.72 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-2.5370
mp-2156,TiS2,2.0,5.67,Pu2SO2,1.8,4.23,mp-21421,496.0,3.8,-2.26,"An interface between TiS2 (Fermi level: 5.67 meV) and Pu2SO2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.8 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.8154
mp-867636,CrCo3O8,2.05,5.67,VS2,2.05,4.23,mp-849080,156.0,4.1,-2.04,"An interface between CrCo3O8 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.7129
