prompt;completion
To synthesize Mn-Na2WO4/BN, BN (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 4.0 mL/min, CH4: 4.8 mL/min, O2: 1.2 mL/min), leading to a contact time of 0.75 s.;5.7
To synthesize Mn-Na2WO4/BN, BN (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 6.0 mL/min, CH4: 7.2 mL/min, O2: 1.8 mL/min), leading to a contact time of 0.5 s.;6.14
To synthesize Mn-Na2WO4/MgO, MgO (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 1.5 mL/min, CH4: 5.7 mL/min, O2: 2.8 mL/min), leading to a contact time of 0.75 s.;4.52
To synthesize Mn-Na2WO4/MgO, MgO (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 2.3 mL/min, CH4: 8.5 mL/min, O2: 4.3 mL/min), leading to a contact time of 0.5 s.;5.22
To synthesize Mn-Na2WO4/MgO, MgO (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 20 mL/min (Ar: 3.0 mL/min, CH4: 11.3 mL/min, O2: 5.7 mL/min), leading to a contact time of 0.38 s.;5.62
To synthesize Mn-Na2WO4/MgO, MgO (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 1.5 mL/min, CH4: 6.4 mL/min, O2: 2.1 mL/min), leading to a contact time of 0.75 s.;4.87
To synthesize Mn-Na2WO4/MgO, MgO (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 2.3 mL/min, CH4: 9.6 mL/min, O2: 3.2 mL/min), leading to a contact time of 0.5 s.;5.46
To synthesize Mn-Na2WO4/MgO, MgO (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 20 mL/min (Ar: 3.0 mL/min, CH4: 12.8 mL/min, O2: 4.3 mL/min), leading to a contact time of 0.38 s.;5.91
To synthesize Mn-Na2WO4/MgO, MgO (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 1.5 mL/min, CH4: 6.8 mL/min, O2: 1.7 mL/min), leading to a contact time of 0.75 s.;4.7
To synthesize Mn-Na2WO4/MgO, MgO (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 2.3 mL/min, CH4: 10.2 mL/min, O2: 2.6 mL/min), leading to a contact time of 0.5 s.;5.38
To synthesize Mn-Na2WO4/MgO, MgO (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 20 mL/min (Ar: 3.0 mL/min, CH4: 13.6 mL/min, O2: 3.4 mL/min), leading to a contact time of 0.38 s.;5.74
To synthesize Mn-Na2WO4/MgO, MgO (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 1.5 mL/min, CH4: 7.3 mL/min, O2: 1.2 mL/min), leading to a contact time of 0.75 s.;4.45
To synthesize Mn-Na2WO4/MgO, MgO (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 2.3 mL/min, CH4: 10.9 mL/min, O2: 1.8 mL/min), leading to a contact time of 0.5 s.;5.03
To synthesize Mn-Na2WO4/MgO, MgO (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 20 mL/min (Ar: 3.0 mL/min, CH4: 14.6 mL/min, O2: 2.4 mL/min), leading to a contact time of 0.38 s.;5.21
To synthesize Mn-Na2WO4/MgO, MgO (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 4.0 mL/min, CH4: 4.0 mL/min, O2: 2.0 mL/min), leading to a contact time of 0.75 s.;4.27
To synthesize Mn-Na2WO4/MgO, MgO (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 6.0 mL/min, CH4: 6.0 mL/min, O2: 3.0 mL/min), leading to a contact time of 0.5 s.;4.91
To synthesize Mn-Na2WO4/MgO, MgO (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 20 mL/min (Ar: 8.0 mL/min, CH4: 8.0 mL/min, O2: 4.0 mL/min), leading to a contact time of 0.38 s.;5.28
To synthesize Mn-Na2WO4/MgO, MgO (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 4.0 mL/min, CH4: 4.5 mL/min, O2: 1.5 mL/min), leading to a contact time of 0.75 s.;4.51
To synthesize Mn-Na2WO4/MgO, MgO (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 6.0 mL/min, CH4: 6.8 mL/min, O2: 2.3 mL/min), leading to a contact time of 0.5 s.;5.01
To synthesize Mn-Na2WO4/MgO, MgO (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 20 mL/min (Ar: 8.0 mL/min, CH4: 9.0 mL/min, O2: 3.0 mL/min), leading to a contact time of 0.38 s.;5.45
To synthesize Mn-Na2WO4/MgO, MgO (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 4.0 mL/min, CH4: 4.8 mL/min, O2: 1.2 mL/min), leading to a contact time of 0.75 s.;4.49
To synthesize Mn-Na2WO4/MgO, MgO (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 6.0 mL/min, CH4: 7.2 mL/min, O2: 1.8 mL/min), leading to a contact time of 0.5 s.;4.97
To synthesize Mn-Na2WO4/Al2O3, Al2O3 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 1.5 mL/min, CH4: 5.7 mL/min, O2: 2.8 mL/min), leading to a contact time of 0.75 s.;3.33
To synthesize Mn-Na2WO4/Al2O3, Al2O3 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 2.3 mL/min, CH4: 8.5 mL/min, O2: 4.3 mL/min), leading to a contact time of 0.5 s.;4.15
To synthesize Mn-Na2WO4/Al2O3, Al2O3 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 20 mL/min (Ar: 3.0 mL/min, CH4: 11.3 mL/min, O2: 5.7 mL/min), leading to a contact time of 0.38 s.;4.31
To synthesize Mn-Na2WO4/Al2O3, Al2O3 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 1.5 mL/min, CH4: 6.4 mL/min, O2: 2.1 mL/min), leading to a contact time of 0.75 s.;3.63
To synthesize Mn-Na2WO4/Al2O3, Al2O3 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 2.3 mL/min, CH4: 9.6 mL/min, O2: 3.2 mL/min), leading to a contact time of 0.5 s.;4.24
To synthesize Mn-Na2WO4/Al2O3, Al2O3 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 20 mL/min (Ar: 3.0 mL/min, CH4: 12.8 mL/min, O2: 4.3 mL/min), leading to a contact time of 0.38 s.;4.63
To synthesize Mn-Na2WO4/Al2O3, Al2O3 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 1.5 mL/min, CH4: 6.8 mL/min, O2: 1.7 mL/min), leading to a contact time of 0.75 s.;3.56
To synthesize Mn-Na2WO4/Al2O3, Al2O3 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 2.3 mL/min, CH4: 10.2 mL/min, O2: 2.6 mL/min), leading to a contact time of 0.5 s.;4.13
To synthesize Mn-Na2WO4/Al2O3, Al2O3 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 20 mL/min (Ar: 3.0 mL/min, CH4: 13.6 mL/min, O2: 3.4 mL/min), leading to a contact time of 0.38 s.;4.31
To synthesize Mn-Na2WO4/Al2O3, Al2O3 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 1.5 mL/min, CH4: 7.3 mL/min, O2: 1.2 mL/min), leading to a contact time of 0.75 s.;3.09
To synthesize Mn-Na2WO4/Al2O3, Al2O3 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 2.3 mL/min, CH4: 10.9 mL/min, O2: 1.8 mL/min), leading to a contact time of 0.5 s.;3.69
To synthesize Mn-Na2WO4/Al2O3, Al2O3 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 20 mL/min (Ar: 3.0 mL/min, CH4: 14.6 mL/min, O2: 2.4 mL/min), leading to a contact time of 0.38 s.;4.13
To synthesize Mn-Na2WO4/Al2O3, Al2O3 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 4.0 mL/min, CH4: 4.0 mL/min, O2: 2.0 mL/min), leading to a contact time of 0.75 s.;2.76
To synthesize Mn-Na2WO4/Al2O3, Al2O3 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 6.0 mL/min, CH4: 6.0 mL/min, O2: 3.0 mL/min), leading to a contact time of 0.5 s.;3.34
To synthesize Mn-Na2WO4/Al2O3, Al2O3 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 20 mL/min (Ar: 8.0 mL/min, CH4: 8.0 mL/min, O2: 4.0 mL/min), leading to a contact time of 0.38 s.;3.77
To synthesize Mn-Na2WO4/Al2O3, Al2O3 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 4.0 mL/min, CH4: 4.5 mL/min, O2: 1.5 mL/min), leading to a contact time of 0.75 s.;2.95
To synthesize Mn-Na2WO4/Al2O3, Al2O3 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 6.0 mL/min, CH4: 6.8 mL/min, O2: 2.3 mL/min), leading to a contact time of 0.5 s.;3.45
To synthesize Mn-Na2WO4/Al2O3, Al2O3 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 20 mL/min (Ar: 8.0 mL/min, CH4: 9.0 mL/min, O2: 3.0 mL/min), leading to a contact time of 0.38 s.;3.89
To synthesize Mn-Na2WO4/Al2O3, Al2O3 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 4.0 mL/min, CH4: 4.8 mL/min, O2: 1.2 mL/min), leading to a contact time of 0.75 s.;2.9
To synthesize Mn-Na2WO4/Al2O3, Al2O3 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 6.0 mL/min, CH4: 7.2 mL/min, O2: 1.8 mL/min), leading to a contact time of 0.5 s.;3.41
To synthesize Mn-Na2WO4/SiO2, SiO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 1.5 mL/min, CH4: 5.7 mL/min, O2: 2.8 mL/min), leading to a contact time of 0.75 s.;3.18
To synthesize Mn-Na2WO4/SiO2, SiO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 2.3 mL/min, CH4: 8.5 mL/min, O2: 4.3 mL/min), leading to a contact time of 0.5 s.;4.84
To synthesize Mn-Na2WO4/SiO2, SiO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 20 mL/min (Ar: 3.0 mL/min, CH4: 11.3 mL/min, O2: 5.7 mL/min), leading to a contact time of 0.38 s.;5.68
To synthesize Mn-Na2WO4/SiO2, SiO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 1.5 mL/min, CH4: 6.4 mL/min, O2: 2.1 mL/min), leading to a contact time of 0.75 s.;4.74
To synthesize Mn-Na2WO4/SiO2, SiO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 2.3 mL/min, CH4: 9.6 mL/min, O2: 3.2 mL/min), leading to a contact time of 0.5 s.;5.63
To synthesize Mn-Na2WO4/SiO2, SiO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 20 mL/min (Ar: 3.0 mL/min, CH4: 12.8 mL/min, O2: 4.3 mL/min), leading to a contact time of 0.38 s.;6.0
To synthesize Mn-Na2WO4/SiO2, SiO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 1.5 mL/min, CH4: 6.8 mL/min, O2: 1.7 mL/min), leading to a contact time of 0.75 s.;4.78
To synthesize Mn-Na2WO4/SiO2, SiO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 2.3 mL/min, CH4: 10.2 mL/min, O2: 2.6 mL/min), leading to a contact time of 0.5 s.;5.48
To synthesize Mn-Na2WO4/SiO2, SiO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 20 mL/min (Ar: 3.0 mL/min, CH4: 13.6 mL/min, O2: 3.4 mL/min), leading to a contact time of 0.38 s.;5.92
To synthesize Mn-Na2WO4/SiO2, SiO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 1.5 mL/min, CH4: 7.3 mL/min, O2: 1.2 mL/min), leading to a contact time of 0.75 s.;4.47
To synthesize Mn-Na2WO4/SiO2, SiO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 2.3 mL/min, CH4: 10.9 mL/min, O2: 1.8 mL/min), leading to a contact time of 0.5 s.;5.17
To synthesize Mn-Na2WO4/SiO2, SiO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 20 mL/min (Ar: 3.0 mL/min, CH4: 14.6 mL/min, O2: 2.4 mL/min), leading to a contact time of 0.38 s.;5.59
To synthesize Mn-Na2WO4/SiO2, SiO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 4.0 mL/min, CH4: 4.0 mL/min, O2: 2.0 mL/min), leading to a contact time of 0.75 s.;4.49
To synthesize Mn-Na2WO4/SiO2, SiO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 15 mL/min (Ar: 6.0 mL/min, CH4: 6.0 mL/min, O2: 3.0 mL/min), leading to a contact time of 0.5 s.;5.17
To synthesize Mn-Na2WO4/SiO2, SiO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 20 mL/min (Ar: 8.0 mL/min, CH4: 8.0 mL/min, O2: 4.0 mL/min), leading to a contact time of 0.38 s.;5.73
To synthesize Mn-Na2WO4/SiO2, SiO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn (40%), Na (40%), W (20%), at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 10 mL/min (Ar: 4.0 mL/min, CH4: 4.5 mL/min, O2: 1.5 mL/min), leading to a contact time of 0.75 s.;4.69
